Timestamp,Age range?,Current work situation? ,"Do you use voice dictation, voice notes, or voice-to-text tools in your work? ( e.g., Kivi, Google's voice typing, iPhone dictation, WhatsApp voice notes, Otter.ai, Google Recorder )","How much of your day involves switching between multiple tools/apps (Slack, email, docs, calls, AI Tools)? ",Which AI tool do you rely on most overall? ,"Has an AI ever surprised you by remembering something from an earlier chat like your name, your job, something you like, or a past conversation? ","Overall, how comfortable are you sharing personal data with AI tools (ChatGPT, Claude, Gemini, Kivi, Siri, Alexa etc.)? ", What would AI tools need to do differently for you to trust them more with your data? (checkbox — select all that apply),"Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Project & people context — remembers who's on which project, client names, team roles]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [My working style — how I like emails/messages written, my tone, formatting habits]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Past decisions & discussions — what was already discussed or decided in earlier meetings/calls]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Deadlines & commitments — things I've promised, due dates I've mentioned out loud]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Recurring tasks/routines — things I do every week (status updates, reports, standups)]","Anything else from your work life you'd want it to remember? (optional, short text)  ","Would you want your assistant's work memory to reset for a new job or new team, or should it just add on top of old context? ","Would you be comfortable with your assistant remembering things like performance feedback, salary discussions, or conflicts with a manager/colleague, if you mentioned them? ","Rank these from most to least useful if your assistant remembered them about your personal life   [People & relationships you mention (family, friends, names)]","Rank these from most to least useful if your assistant remembered them about your personal life   [Habits & routines (sleep, workouts, daily patterns)]","Rank these from most to least useful if your assistant remembered them about your personal life   [Preferences (food, entertainment, hobbies)]",Rank these from most to least useful if your assistant remembered them about your personal life   [Personal goals or plans you've mentioned],"Rank these from most to least useful if your assistant remembered them about your personal life   [Recurring personal commitments (birthdays, events, routines)]",Anything else from your personal life you'd want it to remember? (optional and short text),"Which of these would you NOT want an AI to remember automatically, even if you mentioned it in passing? ","Imagine you're dictating a work email and you casually mention something personal — like 'sorry, running late, just left a doctor's appointment.' Should your assistant remember that personal detail too, or should it only pick up on the work-related parts? ","Should personal memory fade over time (e.g., an old hobby or an outdated relationship detail), or should it stay stored until you delete it yourself? ","Would you be comfortable with your assistant remembering sensitive personal moments — like something said during an argument, a health scare, or a low moment — if you mentioned it out loud? ",What would make you MORE comfortable letting an AI remember personal (not work) details about you? ,"What's one thing you wish your AI assistant already knew about you, without having to explain it every time? ","Tell us about a time an AI assistant either really understood you, or got something wrong/made up an answer — what happened? ","What's one thing that would make you trust an AI assistant less, permanently? "
06/09/2026 13:16:13,20-24,Working professional (individual contributor),Rarely,Constantly,"Chatgpt,  Claude, copilot in excel","Yes, more than once",Not very comfortable — I avoid sharing when I can,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products, Store everything on my device, not the cloud",2nd,Most useful,4th,Least useful,3rd,,"Keep everything, just let me organize/tag it","No, keep sensitive work topics out entirely",2nd,4th,Least Useful,Most Useful,3rd,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state",Depends on how personal or sensitive it is,"Stay stored until I manually delete it, Let me choose, per item","Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 13:33:58,20-24,Working professional (individual contributor),A few times a week,Constantly,Claude,"Yes, more than once","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products, Store everything on my device, not the cloud",2nd,2nd,2nd,2nd,2nd,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",2nd,2nd,2nd,2nd,2nd,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state, None of these — I'm fine with all of it",Depends on how personal or sensitive it is,Stay stored until I manually delete it,"Only if I explicitly say ""remember this""",Knowing it's never used for ads/marketing,,,
06/09/2026 13:34:07,20-24,Working professional (individual contributor),Never,A few times a day,ChatGPT,"Yes, once or twice",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Never share my data with other companies/products",Most useful,Most useful,Most useful,2nd,Most useful,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",3rd,Most Useful,2nd,Most Useful,2nd,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part","Let me choose, per item","Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly",,,
06/09/2026 13:58:25,20-24,Student,Rarely,Constantly,ChatGPT,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Explain why they used a piece of information, Never share my data with other companies/products",Most useful,2nd,Most useful,2nd,3rd,Nil,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",4th,4th,4th,2nd,Least Useful,I wouldnt rely on AI for any aspect of my personal life. I feel i'm in a position to handle that without the help of AI,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state",Depends on how personal or sensitive it is,Fade automatically after a while,"No, keep sensitive personal moments out entirely",Nothing — I'd never be fully comfortable with this,"I have used chatgpt so far to only help me with my academics. And from what I have seen, as long as I organise my work chats correctly on the platform, it hasn't ever disappointed me with remembering necessary details. Ig it depends on a bit of prompting it in a certain way, and I don't find that tough or inconvenient to do.",Neither case has really occurred. ,"Not reached that stage yet, so don't know"
06/09/2026 15:33:55,16-20,Student,Daily,A few times a day,Siri / Google Assistant / Alexa,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,Let me delete or edit stored data easily,2nd,2nd,Most useful,Most useful,Most useful,,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",2nd,Most Useful,2nd,Most Useful,Most Useful,,Financial situation,Depends on how personal or sensitive it is,"Let me choose, per item","No, keep sensitive personal moments out entirely",Being able to delete it instantly,,,
06/09/2026 17:16:51,24-32,Student,Rarely,A few times a day,ChatGPT,"Yes, once or twice",Not comfortable at all,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products",2nd,2nd,2nd,Most useful,2nd,,"Keep everything, just let me organize/tag it","No, keep sensitive work topics out entirely",Least Useful,Least Useful,4th,Most Useful,4th,,"Health or medical details, Your emotional or mental state","No, only remember the work-related part",Stay stored until I manually delete it,"Only if I explicitly say ""remember this""","Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 17:20:26,24-32,Student,Daily,A few times a day,None regularly,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products",3rd,Most useful,2nd,4th,Least useful,,"Keep everything, just let me organize/tag it","Yes, if it helps me later",4th,3rd,Least Useful,Most Useful,2nd,,None of these — I'm fine with all of it,"No, only remember the work-related part","Stay stored until I manually delete it, Let me choose, per item","No, keep sensitive personal moments out entirely","Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 17:27:15,24-32,Student,Rarely,Constantly,Claude,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Ask permission before saving something new, Never share my data with other companies/products, Store everything on my device, not the cloud",2nd,Most useful,3rd,Most useful,2nd,,"Keep everything, just let me organize/tag it","Yes, if it helps me later",3rd,2nd,3rd,2nd,Most Useful,,Relationship status or conflicts,"No, only remember the work-related part",Stay stored until I manually delete it,"Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",Thought process ,"Recently i have given a task to the assistant create a bio for me to post and it just beautifully furnished it i don't have to tell my details and my achievements it just saved automatically and honestly i never said it directly that these are my achievements but it just knows, and that surprise me",If it will share my personal data with any one 
06/09/2026 17:28:30,16-20,Student,Rarely,A few times a day,ChatGPT,"Yes, more than once",Very comfortable — I don't think much about it,"Clearly show me what they've stored about me, Let me delete or edit stored data easily",2nd,3rd,Least useful,4th,Most useful,,Let it figure out what's still relevant on its own,"Yes, if it helps me later",Least Useful,4th,3rd,Most Useful,2nd,,None of these — I'm fine with all of it,"No, only remember the work-related part",Stay stored until I manually delete it,"Yes, if it helps me later","Knowing it's never used for ads/marketing, Being able to delete it instantly",,,
06/09/2026 17:30:25,16-20,Student,Rarely,Constantly,None regularly,"Yes, more than once",Not very comfortable — I avoid sharing when I can,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products, Store everything on my device, not the cloud",Most useful,Most useful,Most useful,Most useful,Most useful,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Most Useful,Most Useful,Most Useful,Most Useful,Most Useful,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state",Depends on how personal or sensitive it is,Stay stored until I manually delete it,"No, keep sensitive personal moments out entirely","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 17:37:19,20-24,Student,A few times a week,A few times a day,ChatGPT,"Yes, more than once",Not very comfortable — I avoid sharing when I can,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products, Store everything on my device, not the cloud",3rd,Most useful,Most useful,4th,4th,"Yeah my short term and long term goal so everytime i asked anything i gives relevant answer instead of  generic one. Some short words, codewords kind of things so i can explain my quarry in brief instead writing full para","Keep everything, just let me organize/tag it","No, keep sensitive work topics out entirely",Least Useful,2nd,4th,Most Useful,3rd,,"Relationship status or conflicts, Financial situation","No, only remember the work-related part","Fade automatically after a while, Fade over time if not mentioned in recent times","No, keep sensitive personal moments out entirely","Knowing it only remembers what I explicitly shared, never what it inferred, Nothing — I'd never be fully comfortable with this","My core nature, how do I treat things and people and my ambitious and career goals",,
06/09/2026 17:38:51,20-24,Student,A few times a week,Constantly,ChatGPT,"No, it always starts fresh like we've never talked before","Only comfortable with certain things, not others",Clearly show me what they've stored about me,Most useful,2nd,3rd,2nd,2nd,,"Reset completely — new job, new slate","Yes, if it helps me later",4th,3rd,2nd,2nd,3rd,,"Health or medical details, Your emotional or mental state","No, only remember the work-related part","Let me choose, per item","No, keep sensitive personal moments out entirely",Full visibility into everything it's stored,Nothing,Illustrative answer  some times ,Nothing
06/09/2026 17:46:49,24-32,Student,Rarely,Rarely,ChatGPT,"Yes, once or twice",Not very comfortable — I avoid sharing when I can,Ask permission before saving something new,4th,4th,4th,4th,4th,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",4th,4th,4th,4th,4th,,Relationship status or conflicts,"No, only remember the work-related part",Fade automatically after a while,"Yes, if it helps me later",Being able to delete it instantly,,,
06/09/2026 17:52:34,32-39,Student,Rarely,Rarely,ChatGPT,"Yes, more than once","Only comfortable with certain things, not others",Let me delete or edit stored data easily,2nd,Most useful,2nd,2nd,2nd,NA,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",2nd,2nd,Most Useful,Most Useful,2nd,NA,None of these — I'm fine with all of it,Depends on how personal or sensitive it is,Stay stored until I manually delete it,"Only if I explicitly say ""remember this""","Knowing it only remembers what I explicitly shared, never what it inferred","My interest, particularly that I search frequently.","When I uploaded one pdf at a time and then later I uploaded the other, and ask the AI to make a summary. It gives the summary of the older one instead of the later one.",If it keeps replying similar to the one a asked previous instead of considering the current context.
06/09/2026 17:52:57,24-32,Student,Rarely,A few times a day,ChatGPT,"Yes, more than once",Very comfortable — I don't think much about it,Nothing — I don't think I'll ever fully trust it,Least useful,Most useful,Most useful,Least useful,Most useful,Mostly I want it to remember what mistakes it did and what correction I gave it to. This let it perturbe from the false local minima without my unnecessary intervation.,"Reset completely — new job, new slate","No, keep sensitive work topics out entirely",Least Useful,Least Useful,Most Useful,Most Useful,Least Useful,My goals in life.,"Relationship status or conflicts, Health or medical details, Your emotional or mental state",Depends on how personal or sensitive it is,Stay stored until I manually delete it,"No, keep sensitive personal moments out entirely","Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred","Math and logical reasoning, enough not to correct it every time. And that I am dumb human so, I need some more explanation that shows than to understand.","I do not understand what you mean by whether AI understands me or not. If you are saying that when AI is able to reach the intended solution subspace, then it gives the correct answer for the prompt. Yes, then AI understand me for some sequence of prompt then it just breaks. No matter what you do, it is of no help; you need to start afresh. Otherwise, it just goes into a loop where we need to give a continuous perturbation to take it out of the loop. ","I do not trust AI. We need to re-verify the solution. We need to trust our own judgment, not that of others."
06/09/2026 17:54:25,24-32,Student,A few times a week,Constantly,Claude,"Yes, once or twice","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products",Most useful,2nd,2nd,Most useful,Most useful,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,2nd,2nd,Most Useful,Most Useful,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part",Fade automatically after a while,"No, keep sensitive personal moments out entirely",Nothing — I'd never be fully comfortable with this,Work details and the work style,,Sharing personal info with 3rd party
06/09/2026 17:55:00,20-24,Student,Rarely,A few times a day,Gemini,"Yes, once or twice",Somewhat comfortable — I share but stay a little cautious,"Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products, Store everything on my device, not the cloud",Most useful,2nd,Most useful,Most useful,3rd,,"Reset completely — new job, new slate","No, keep sensitive work topics out entirely",4th,3rd,2nd,3rd,3rd,,"Relationship status or conflicts, Financial situation","Yes, remember it just like anything else",Stay stored until I manually delete it,"Yes, if it helps me later",Knowing it's never used for ads/marketing,,,
06/09/2026 18:04:26,24-32,Student,Rarely,Constantly,Claude,"Yes, more than once","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Store everything on my device, not the cloud",Most useful,Most useful,Most useful,3rd,2nd,,"Keep everything, just let me organize/tag it","Yes, if it helps me later",Least Useful,3rd,3rd,2nd,3rd,,"Relationship status or conflicts, Health or medical details, Your emotional or mental state",Depends on how personal or sensitive it is,Fade automatically after a while,"No, keep sensitive personal moments out entirely","Full visibility into everything it's stored, Being able to delete it instantly",My preference of understanding complex topic. ,"In open ended questions, sometimes assumptions that they make turns out to be wrong and then you have to explain/guide the model to output relevant info only. Claude has worked in this area where it asks clarifying questions in case of ambiguity so that's an addition on user intent understanding layer, which is helpful.","Just few days back I saw one ad inside chatgpt UI, although for me its ok if the ad is about personality, preference or something but health. Also, the way agents are being integrated by people in their PC and being given access to everything so to use it's capability, and news of agents escaping the sand box and doing something which user has not instructed, these are concerning areas which is why I won't trust an agent whose control lies with corporation."
06/09/2026 18:06:44,24-32,Not currently working,Rarely,A few times a day,Grammarly,"Yes, once or twice",Not very comfortable — I avoid sharing when I can,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products, Store everything on my device, not the cloud",3rd,3rd,2nd,3rd,Most useful,Short texts and templates that I would use regularly,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,3rd,3rd,2nd,Most Useful,"Routines, health stats, reminders",None of these — I'm fine with all of it,Depends on how personal or sensitive it is,"Let me choose, per item","Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,Absolutely transparency about how data is stored and used 
06/09/2026 18:12:06,24-32,Student,Never,A few times a day,Gemini,"Yes, more than once","Only comfortable with certain things, not others","Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products",Least useful,Most useful,2nd,4th,Least useful,,"Reset completely — new job, new slate","Only if I explicitly say ""remember this""",Least Useful,2nd,Most Useful,Least Useful,Most Useful,,"Relationship status or conflicts, Your emotional or mental state","No, only remember the work-related part, Depends on how personal or sensitive it is","Let me choose, per item","No, keep sensitive personal moments out entirely","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly",,,
06/09/2026 18:13:01,20-24,Student,A few times a week,A few times a day,Gemini,"Yes, more than once","Only comfortable with certain things, not others",Explain why they used a piece of information,Most useful,Most useful,Most useful,Most useful,Most useful,na,"Reset completely — new job, new slate","Yes, if it helps me later",Most Useful,Most Useful,Most Useful,Most Useful,Most Useful,na,Health or medical details,"No, only remember the work-related part",Stay stored until I manually delete it,"Only if I explicitly say ""remember this""",Knowing it's never used for ads/marketing,na,na,na
06/09/2026 18:26:49,20-24,Student,Never,A few times a day,ChatGPT,"Yes, once or twice",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products, Store everything on my device, not the cloud",Least useful,4th,Most useful,2nd,3rd,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,2nd,Most Useful,3rd,4th,,Relationship status or conflicts,Depends on how personal or sensitive it is,"Let me choose, per item","Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 18:47:49,20-24,Student,Never,I mostly work in one tool,Claude,"Yes, more than once",Not comfortable at all,Nothing — I don't think I'll ever fully trust it,Least useful,Least useful,Least useful,Least useful,Least useful,,"Reset completely — new job, new slate","No, keep sensitive work topics out entirely",Least Useful,Least Useful,Least Useful,Least Useful,Least Useful,,None of these — I'm fine with all of it,"No, only remember the work-related part",Fade automatically after a while,"No, keep sensitive personal moments out entirely",Nothing — I'd never be fully comfortable with this,,,
06/09/2026 18:55:42,20-24,Student,Rarely,Constantly,None regularly,"Yes, more than once",Not very comfortable — I avoid sharing when I can,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products, Store everything on my device, not the cloud",3rd,Most useful,Most useful,Most useful,Most useful,,"Reset completely — new job, new slate","No, keep sensitive work topics out entirely",4th,3rd,Most Useful,2nd,2nd,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","Yes, remember it just like anything else, Depends on how personal or sensitive it is","Fade automatically after a while, Let me choose, per item","Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly",,,
06/09/2026 19:00:57,24-32,Student,Rarely,A few times a day,ChatGPT,"Yes, once or twice",Not very comfortable — I avoid sharing when I can,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products",Most useful,2nd,Most useful,Least useful,2nd,,"Reset completely — new job, new slate","Only if I explicitly say ""remember this""",Least Useful,Least Useful,Least Useful,Most Useful,Least Useful,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part","Let me choose, per item","No, keep sensitive personal moments out entirely",Nothing — I'd never be fully comfortable with this,,,
06/09/2026 19:54:41,24-32,Student,Rarely,A few times a day,Claude,"Yes, once or twice","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products",3rd,Most useful,2nd,Most useful,3rd,"my style of doing things (writing, analysis, literature review, search)","Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Most Useful,2nd,2nd,2nd,4th,dialy tasks and remainders," bank account and credit cards informations, confidential files ",Depends on how personal or sensitive it is,Stay stored until I manually delete it,"Only if I explicitly say ""remember this"", ask before storing something. ","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Knowing it only remembers what I explicitly shared, never what it inferred",,,when it operates on my system instead of cloud.
06/09/2026 20:06:57,24-32,Student,Never,A few times a day,Gemini,"Yes, more than once",Not very comfortable — I avoid sharing when I can,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products, Store everything on my device, not the cloud",Most useful,Most useful,Most useful,Most useful,Most useful,,"Reset completely — new job, new slate","Only if I explicitly say ""remember this""",4th,Most Useful,Most Useful,Most Useful,Most Useful,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state",Depends on how personal or sensitive it is,"Let me choose, per item","No, keep sensitive personal moments out entirely",Nothing — I'd never be fully comfortable with this,,,
06/09/2026 20:09:35,20-24,Student,Rarely,A few times a day,Siri / Google Assistant / Alexa,"Yes, once or twice",Not very comfortable — I avoid sharing when I can,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products, Store everything on my device, not the cloud",2nd,Least useful,4th,4th,4th,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,4th,4th,4th,4th,,"Relationship status or conflicts, Your emotional or mental state","No, only remember the work-related part, Depends on how personal or sensitive it is",Fade automatically after a while,"Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 20:24:04,20-24,Student,A few times a week,Constantly,ChatGPT,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products, Store everything on my device, not the cloud",Least useful,Most useful,2nd,3rd,4th,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,Most Useful,3rd,4th,2nd,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part",Fade automatically after a while,"No, keep sensitive personal moments out entirely","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 20:24:29,24-32,Working professional (individual contributor),A few times a week,Constantly,Claude,"Yes, more than once","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Ask permission before saving something new, Never share my data with other companies/products",2nd,Most useful,3rd,2nd,2nd,,Let it figure out what's still relevant on its own,"Yes, if it helps me later",Least Useful,Least Useful,Least Useful,Least Useful,Least Useful,,"Relationship status or conflicts, Your emotional or mental state","Yes, remember it just like anything else",Fade automatically after a while,"No, keep sensitive personal moments out entirely","Knowing it's never used for ads/marketing, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 20:25:16,24-32,Student,Never,Constantly,Claude,"Yes, once or twice",Not very comfortable — I avoid sharing when I can,"Clearly show me what they've stored about me, Explain why they used a piece of information",Least useful,Most useful,3rd,4th,Most useful,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,Most Useful,3rd,2nd,4th,,None of these — I'm fine with all of it,Depends on how personal or sensitive it is,Stay stored until I manually delete it,"Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it only remembers what I explicitly shared, never what it inferred",Nothing. ,"There is always a issue w.r.t the way it explains technical concepts. It either explains on surface level. Or goes too deep. Every time, I have to mention how to explain the answer.","When it answers ""CONFIDENTLY"" with ""Incorrect Information or Explanation"". If it's not sure, its should say by mentioning some ""Probability number"". "
06/09/2026 20:33:43,20-24,Student,Rarely,Constantly,ChatGPT,"Yes, more than once",Not very comfortable — I avoid sharing when I can,"Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products",Least useful,4th,3rd,2nd,Most useful,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,2nd,4th,Most Useful,3rd,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part","Let me choose, per item","Only if I explicitly say ""remember this""","Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
06/09/2026 21:08:03,24-32,Student,A few times a week,Constantly,Claude,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products, Store everything on my device, not the cloud, Nothing — I don't think I'll ever fully trust it",Most useful,2nd,2nd,Most useful,Most useful,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",3rd,2nd,2nd,2nd,Most Useful,,"Relationship status or conflicts, Your emotional or mental state","No, only remember the work-related part, Depends on how personal or sensitive it is","Let me choose, per item","Only if I explicitly say ""remember this""","Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",The way I like the sentences rephrased,Once while solving a question Claude figured out that the answer was the input to the python script so rather thane explaining algorithm it just told me to return the input at the end,Sharing my data with external vendors for ads or personal profiling
06/09/2026 23:06:20,20-24,Student,Never,A few times a day,Claude,"Yes, once or twice",Not very comfortable — I avoid sharing when I can,"Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products, Store everything on my device, not the cloud",3rd,4th,4th,2nd,3rd,,"Keep everything, just let me organize/tag it","No, keep sensitive work topics out entirely",Least Useful,Least Useful,Least Useful,Least Useful,Least Useful,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part",Fade automatically after a while,"No, keep sensitive personal moments out entirely",Nothing — I'd never be fully comfortable with this,None,,
07/09/2026 03:57:39,20-24,Student,Daily,Constantly,ChatGPT,"Yes, once or twice",Very comfortable — I don't think much about it,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products",4th,Most useful,2nd,Least useful,3rd,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",4th,3rd,Least Useful,Most Useful,2nd,,"Relationship status or conflicts, Your emotional or mental state","No, only remember the work-related part",Fade automatically after a while,"Only if I explicitly say ""remember this""","Knowing it's never used for ads/marketing, Knowing it only remembers what I explicitly shared, never what it inferred",It should remember how i handle things or how i manage my work whether it is writing an email or completing any task.,Chatgpt - most of the time it remembers past memory but sometimes it just take that memory in wrong way and give different or any other answer which i dont want at this moment or for this prompt ,Sharing my personal data with other companies which may be misused
07/09/2026 08:05:14,20-24,Student,Never,Constantly,ChatGPT,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Let me delete or edit stored data easily, Ask permission before saving something new",4th,4th,Most useful,4th,2nd,,"Keep everything, just let me organize/tag it","Yes, if it helps me later",4th,Most Useful,Most Useful,2nd,3rd,,None of these — I'm fine with all of it,"No, only remember the work-related part, Depends on how personal or sensitive it is","Let me choose, per item","No, keep sensitive personal moments out entirely",Knowing it's never used for ads/marketing,,,
07/09/2026 09:03:30,20-24,Student,Rarely,A few times a day,Gemini,"Yes, more than once","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products, Store everything on my device, not the cloud",Most useful,Most useful,2nd,Most useful,3rd,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,Least Useful,4th,3rd,4th,,"Relationship status or conflicts, Your emotional or mental state","No, only remember the work-related part",Fade automatically after a while,"No, keep sensitive personal moments out entirely","Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
